# T[K]-P[bar] grid
# logT = [  2.50,  7.50,101]
# logP = [ -4.00,  9.00,101]
   1.1748975549395302E-005   446.683592150963118556250524319376542      
   1.5848931924611141E-005   446.683592150963118556250524319376542      
   2.1379620895022323E-005   446.683592150963118556250524319376542      
   2.8840315031266060E-005   446.683592150963118556250524319376542      
   3.8904514499428046E-005   446.683592150963118556250524319376542      
   5.2480746024977334E-005   446.683592150963118556250524319376542      
   7.0794578438413880E-005   446.683592150963118556250524319376542      
   9.5499258602143688E-005   446.683592150963118556250524319376542      
   1.2882495516931347E-004   446.683592150963118556250524319376542      
   1.7378008287493763E-004   446.683592150963118556250524319376542      
   2.3442288153199226E-004   446.683592150963118556250524319376542      
   3.1622776601683794E-004   446.683592150963118556250524319376542      
   4.2657951880159252E-004   446.683592150963118556250524319376542      
   5.7543993733715664E-004   446.683592150963118556250524319376542      
   7.7624711662869280E-004   446.683592150963118556250524319376542      
   1.0471285480509007E-003   446.683592150963118556250524319376542      
   1.4125375446227555E-003   446.683592150963118556250524319376542      
   1.9054607179632482E-003   446.683592150963118556250524319376542      
   2.5703957827688645E-003   446.683592150963118556250524319376542      
   3.4673685045253171E-003   446.683592150963118556250524319376542      
   4.6773514128719811E-003   446.683592150963118556250524319376542      
   6.3095734448019433E-003   446.683592150963118556250524319376542      
   8.5113803820237779E-003   446.683592150963118556250524319376542      
   1.1481536214968840E-002   446.683592150963118556250524319376542      
   1.5488166189124795E-002   446.683592150963118556250524319376542      
   2.0892961308540410E-002   446.683592150963118556250524319376542      
   2.8183829312644609E-002   446.683592150963118556250524319376542      
   3.8018939632056131E-002   446.683592150963118556250524319376542      
   5.1286138399136587E-002   446.683592150963118556250524319376542      
   6.9183097091893617E-002   446.683592150963118556250524319376542      
   9.3325430079699248E-002   446.683592150963118556250524319376542      
  0.12589254117941662        446.683592150963118556250524319376542      
  0.16982436524617459        446.683592150963118556250524319376542      
  0.22908676527677702        446.683592150963118556250524319376542      
  0.30902954325135917        446.683592150963118556250524319376542      
  0.41686938347033636        446.683592150963118556250524319376542      
  0.56234132519034918        446.683592150963118556250524319376542      
  0.75857757502918510        446.683592150963118556250524319376542      
   1.0232929922807537        446.683592150963118556250524319376542      
   1.3803842646028868        446.683592150963118556250524319376542      
   1.8620871366628655        446.683592150963118556250524319376542      
   2.5118864315095824        446.683592150963118556250524319376542      
   3.3884415613920345        446.683592150963118556250524319376542      
   4.5708818961487516        446.683592150963118556250524319376542      
   6.1659500186148355        446.683592150963118556250524319376542      
   8.3176377110267090        446.683592150963118556250524319376542      
   11.220184543019652        446.683592150963118556250524319376542      
   15.135612484362071        446.683592150963118556250524319376542      
   20.417379446695318        446.683592150963118556250524319376542      
   27.542287033381744        446.683592150963118556250524319376542      
   37.153522909717275        446.683592150963118556250524319376542      
   50.118723362727351        446.683592150963118556250524319376542      
   67.608297539198190        446.683592150963118556250524319376542      
   91.201083935591143        446.683592150963118556250524319376542      
   123.02687708123811        446.683592150963118556250524319376542      
   165.95869074375631        446.683592150963118556250524319376542      
   223.87211385683378        446.683592150963118556250524319376542      
   301.99517204020191        446.683592150963118556250524319376542      
   407.38027780411386        446.683592150963118556250524319376542      
   549.54087385762477        446.683592150963118556250524319376542      
   741.31024130091919        446.683592150963118556250524319376542      
   1000.0000000000000        446.683592150963118556250524319376542      
   1.0000000000000000E-010   501.187233627272285001554186884945956      
   1.3489628825916532E-010   501.187233627272285001554186884945956      
   1.8197008586099827E-010   501.187233627272285001554186884945956      
   2.4547089156850315E-010   501.187233627272285001554186884945956      
   3.3113112148259112E-010   501.187233627272285001554186884945956      
   4.4668359215096305E-010   501.187233627272285001554186884945956      
   6.0255958607435815E-010   501.187233627272285001554186884945956      
   8.1283051616409944E-010   501.187233627272285001554186884945956      
   1.0964781961431852E-009   501.187233627272285001554186884945956      
   1.4791083881682072E-009   501.187233627272285001554186884945956      
   1.9952623149688791E-009   501.187233627272285001554186884945956      
   2.6915348039269167E-009   501.187233627272285001554186884945956      
   3.6307805477010139E-009   501.187233627272285001554186884945956      
   4.8977881936844609E-009   501.187233627272285001554186884945956      
   6.6069344800759643E-009   501.187233627272285001554186884945956      
   8.9125093813374596E-009   501.187233627272285001554186884945956      
   1.2022644346174132E-008   501.187233627272285001554186884945956      
   1.6218100973589300E-008   501.187233627272285001554186884945956      
   2.1877616239495521E-008   501.187233627272285001554186884945956      
   2.9512092266663871E-008   501.187233627272285001554186884945956      
   3.9810717055349736E-008   501.187233627272285001554186884945956      
   5.3703179637025271E-008   501.187233627272285001554186884945956      
   7.2443596007499061E-008   501.187233627272285001554186884945956      
   9.7723722095581110E-008   501.187233627272285001554186884945956      
   1.3182567385564072E-007   501.187233627272285001554186884945956      
   1.7782794100389230E-007   501.187233627272285001554186884945956      
   2.3988329190194898E-007   501.187233627272285001554186884945956      
   3.2359365692962843E-007   501.187233627272285001554186884945956      
   4.3651583224016610E-007   501.187233627272285001554186884945956      
   5.8884365535558903E-007   501.187233627272285001554186884945956      
   7.9432823472428220E-007   501.187233627272285001554186884945956      
   1.0715193052376070E-006   501.187233627272285001554186884945956      
   1.4454397707459279E-006   501.187233627272285001554186884945956      
   1.9498445997580454E-006   501.187233627272285001554186884945956      
   2.6302679918953812E-006   501.187233627272285001554186884945956      
   3.5481338923357534E-006   501.187233627272285001554186884945956      
   4.7863009232263809E-006   501.187233627272285001554186884945956      
   6.4565422903465625E-006   501.187233627272285001554186884945956      
   8.7096358995608141E-006   501.187233627272285001554186884945956      
   1.1748975549395302E-005   501.187233627272285001554186884945956      
   1.5848931924611141E-005   501.187233627272285001554186884945956      
   2.1379620895022323E-005   501.187233627272285001554186884945956      
   2.8840315031266060E-005   501.187233627272285001554186884945956      
   3.8904514499428046E-005   501.187233627272285001554186884945956      
   5.2480746024977334E-005   501.187233627272285001554186884945956      
   7.0794578438413880E-005   501.187233627272285001554186884945956      
   9.5499258602143688E-005   501.187233627272285001554186884945956      
   1.2882495516931347E-004   501.187233627272285001554186884945956      
   1.7378008287493763E-004   501.187233627272285001554186884945956      
   2.3442288153199226E-004   501.187233627272285001554186884945956      
   3.1622776601683794E-004   501.187233627272285001554186884945956      
   4.2657951880159252E-004   501.187233627272285001554186884945956      
   5.7543993733715664E-004   501.187233627272285001554186884945956      
   7.7624711662869280E-004   501.187233627272285001554186884945956      
   1.0471285480509007E-003   501.187233627272285001554186884945956      
   1.4125375446227555E-003   501.187233627272285001554186884945956      
   1.9054607179632482E-003   501.187233627272285001554186884945956      
   2.5703957827688645E-003   501.187233627272285001554186884945956      
   3.4673685045253171E-003   501.187233627272285001554186884945956      
   4.6773514128719811E-003   501.187233627272285001554186884945956      
   6.3095734448019433E-003   501.187233627272285001554186884945956      
   8.5113803820237779E-003   501.187233627272285001554186884945956      
   1.1481536214968840E-002   501.187233627272285001554186884945956      
   1.5488166189124795E-002   501.187233627272285001554186884945956      
   2.0892961308540410E-002   501.187233627272285001554186884945956      
   2.8183829312644609E-002   501.187233627272285001554186884945956      
