Table 1 from "Electron Radiative Transitions in a Coulomb Field", W.J.Karzas & R.Latter, Astrophysical Journal Supplement, vol. 6, p.167, May 1961
doi:10.1086/190063
© AAS. Reproduced with permission

E	hν	n=1	hν	n=2	hν	n=3	hν	n=4	hν	n=5		n=6		n=7		n=8		n=10
.1000D-3	.1000D1	.7973D0	.2501D0	.8763D0	.1112D0	.9076D0	.6260D-1	.9249D0	.4010D-1	.9361D0	.2788D-1	.9439D0	.2051D-1	.9498D0	.1572D-1	.9544D0	.1010D-1	.9613D0
.1111D-4	.1000D1	.7973D0	.2500D0	.8761D0	.1111D0	.9075D0	.6251D-1	.9248D0	.4001D-1	.9358D0	.2779D-1	.9436D0	.2042D-1	.9495D0	.1564D-1	.9540D0	.1001D-1	.9607D0
.1000D-5	.1000D1	.7973D0	.2500D0	.8761D0	.1111D0	.9075D0	.6250D-1	.9247D0	.4000D-1	.9358D0	.2778D-1	.9436D0	.2041D-1	.9494D0	.1563D-1	.9540D0	.1000D-1	.9606D0
.1111D-6	.1000D1	.7973D0	.2500D0	.8761D0	.1111D0	.9075D0	.6250D-1	.9247D0	.4000D-1	.9358D0	.2778D-1	.9436D0	.2041D-1	.9494D0	.1563D-1	.9540D0	.1000D-1	.9606D0
.1000D-7	.1000D1	.7973D0	.2500D0	.8761D0	.1111D0	.9075D0	.6250D-1	.9247D0	.4000D-1	.9358D0	.2778D-1	.9436D0	.2041D-1	.9494D0	.1563D-1	.9540D0	.1000D-1	.9606D0
.1111D-8	.1000D1	.7973D0	.2500D0	.8761D0	.1111D0	.9075D0	.6250D-1	.9247D0	.4000D-1	.9358D0	.2778D-1	.9436D0	.2041D-1	.9494D0	.1563D-1	.9540D0	.1000D-1	.9606D0
.1000D-9	.1000D1	.7973D0	.2500D0	.8761D0	.1111D0	.9075D0	.6250D-1	.9247D0	.4000D-1	.9358D0	.2778D-1	.9436D0	.2041D-1	.9494D0	.1563D-1	.9540D0	.1000D-1	.9606D0
.1111D-10	.1000D1	.7973D0	.2500D0	.8761D0	.1111D0	.9075D0	.6250D-1	.9247D0	.4000D-1	.9358D0	.2778D-1	.9436D0	.2041D-1	.9494D0	.1563D-1	.9540D0	.1000D-1	.9606D0
.1000D-11	.1000D1	.7973D0	.2500D0	.8761D0	.1111D0	.9075D0	.6250D-1	.9247D0	.4000D-1	.9358D0	.2778D-1	.9436D0	.2041D-1	.9494D0	.1563D-1	.9540D0	.1000D-1	.9606D0
.1111D-12	.1000D1	.7973D0	.2500D0	.8761D0	.1111D0	.9075D0	.6250D-1	.9247D0	.4000D-1	.9358D0	.2778D-1	.9436D0	.2041D-1	.9494D0	.1563D-1	.9540D0	.1000D-1	.9606D0
.1000D-13	.1000D1	.7973D0	.2500D0	.8761D0	.1111D0	.9075D0	.6250D-1	.9247D0	.4000D-1	.9358D0	.2778D-1	.9436D0	.2041D-1	.9494D0	.1563D-1	.9540D0	.1000D-1	.9606D0
.1111D-14	.1000D1	.7973D0	.2500D0	.8761D0	.1111D0	.9075D0	.6250D-1	.9247D0	.4000D-1	.9358D0	.2778D-1	.9436D0	.2041D-1	.9494D0	.1563D-1	.9540D0	.1000D-1	.9606D0
.1000D-15	.1000D1	.7973D0	.2500D0	.8761D0	.1111D0	.9075D0	.6250D-1	.9247D0	.4000D-1	.9358D0	.2778D-1	.9436D0	.2041D-1	.9494D0	.1563D-1	.9540D0	.1000D-1	.9606D0
E	hν	n=9																
.1000D13	.1000D13	.6928D-5																
.1111D12	.1111D12	.2078D-4																
.1000D11	.1000D11	.6928D-4																
.1111D10	.1111D10	.2078D-3																
.1000D9	.1000D9	.6926D-3																
.1111D8	.1111D8	.2076D-2																
.1000D7	.1000D7	.6906D-2																
.1111D6	.1111D6	.2059D-1																
.4000D5	.4000D5	.3410D-1																
.2041D5	.2041D5	.4745D-1																
.1000D5	.1000D5	.6715D-1																
.4444D4	.4444D4	.9918D-1																
.2500D4	.2500D4	.1302D0																
.1111D4	.1111D4	.1894D0																
.4000D3	.4000D3	.2973D0																
.2041D3	.2041D3	.3925D0																
.1000D3	.1000D3	.5146D0																
.4444D2	.4446D2	.6736D0																
.2500D2	.2501D2	.7899D0																
.1111D2	.1112D2	.9378D0																
.1000D1	.1012D1	.1101D1																
.1111D0	.1235D0	.1056D1																
.1000D-1	.2235D-1	.9917D0																
.1111D-2	.1346D-1	.9632D0																
.1000D-3	.1245D-1	.9582D0																
.1111D-4	.1236D-1	.9577D0																
.1000D-5	.1235D-1	.9576D0																
.1111D-6	.1235D-1	.9576D0																
.1000D-7	.1235D-1	.9576D0																
.1111D-8	.1235D-1	.9576D0																
